HomeTeam,Result,Home Game,Week,Tm.Score,Opp.Score,1stD.Off,TotYd.Off,PassY.Off,RushY.Off,TO.Off,1stD.Def,TotYd.Def,PassY.Def,RushY.Def,TO.Def
Las Vegas Raiders,1,1,1,24,16,19,357,259,98,0,18,344,249,95,0
Las Vegas Raiders,0,1,2,10,28,19,307,178,129,2,24,467,436,31,1
Las Vegas Raiders,0,0,3,14,34,17,302,214,88,1,23,385,174,211,0
Las Vegas Raiders,1,0,4,31,24,21,377,189,188,1,22,346,265,81,2
Las Vegas Raiders,1,1,5,24,21,25,398,229,169,2,15,236,194,42,2
Las Vegas Raiders,0,0,7,24,42,21,484,329,155,2,22,481,421,60,0
Las Vegas Raiders,0,0,8,24,27,15,378,285,93,0,29,388,258,130,0
Las Vegas Raiders,1,1,9,31,24,25,450,279,171,0,26,473,383,90,2
Las Vegas Raiders,1,1,10,26,24,18,278,200,78,0,26,315,169,146,3
Las Vegas Raiders,1,1,11,17,10,20,386,273,113,2,16,246,73,173,2
Las Vegas Raiders,0,0,12,3,34,10,208,140,68,2,21,401,313,88,1
Las Vegas Raiders,0,0,13,9,40,19,332,210,122,3,22,259,163,96,0
Las Vegas Raiders,0,1,14,21,42,22,355,258,97,1,26,552,391,161,1
Las Vegas Raiders,0,1,15,16,20,27,364,236,128,0,17,262,185,77,0
Las Vegas Raiders,1,0,16,24,17,19,366,267,99,0,21,284,265,19,0
Las Vegas Raiders,0,0,17,15,16,18,477,380,97,1,16,238,168,70,1
Carolina Panthers,0,1,1,27,30,21,343,216,127,3,22,349,183,166,1
Carolina Panthers,0,1,2,14,20,20,352,313,39,1,16,289,189,100,0
Carolina Panthers,1,0,3,38,20,21,413,240,173,1,21,248,127,121,2
Carolina Panthers,1,0,4,16,10,19,297,203,94,3,18,264,128,136,2
Carolina Panthers,1,1,5,34,27,22,445,160,285,0,28,507,358,149,3
Carolina Panthers,1,0,6,37,26,17,268,209,59,1,23,407,365,42,7
Carolina Panthers,0,0,8,13,51,12,230,100,130,3,24,388,156,232,1
Carolina Panthers,1,1,9,30,20,22,370,214,156,1,24,431,310,121,3
Carolina Panthers,0,0,10,16,24,26,401,281,120,2,23,388,225,163,0
Carolina Panthers,0,1,11,3,29,17,347,270,77,4,20,349,295,54,0
Carolina Panthers,0,0,12,31,34,26,351,230,121,1,23,418,300,118,1
Carolina Panthers,0,1,13,21,29,22,278,213,65,2,20,362,114,248,0
Carolina Panthers,0,0,14,20,40,27,345,245,100,4,22,461,302,159,0
Carolina Panthers,0,1,15,24,30,28,414,269,145,3,21,428,274,154,1
Carolina Panthers,0,0,16,6,38,19,286,199,87,3,25,324,106,218,0
Carolina Panthers,0,1,17,10,42,16,329,288,41,3,25,379,264,115,0
